,vote-share,gps,g-wins,g-losses,gaa,save-percentage,mvp
0,11.66,14.0,31,22,2.98,0.903,0
1,2.55,11.4,32,23,3.18,0.895,0
2,41.8,11.6,33,14,3.35,0.894,0
3,1.06,7.9,23,10,3.44,0.892,0
4,0.35,12.6,35,18,3.26,0.893,0
5,0.18,10.1,23,10,2.96,0.898,0
6,0.95,10.0,26,15,3.48,0.894,0
7,0.63,10.3,20,18,3.36,0.893,0
8,50.48,16.5,40,12,2.37,0.903,0
9,0.63,9.2,15,35,3.98,0.875,0
10,1.94,9.6,21,12,3.52,0.893,0
11,1.29,7.5,26,12,2.85,0.893,0
12,0.32,5.8,25,13,2.92,0.881,0
13,0.32,9.1,29,18,3.21,0.882,0
14,17.78,13.8,40,17,3.02,0.899,0
15,2.86,8.1,25,18,2.67,0.887,0
16,5.33,10.0,31,21,3.33,0.887,0
17,14.44,9.5,31,22,3.23,0.885,0
18,1.11,13.8,37,21,3.01,0.902,0
19,33.65,11.3,40,24,3.43,0.881,0
20,1.59,11.0,25,18,3.32,0.896,0
21,0.32,1.7,10,1,3.05,0.883,0
22,0.63,9.3,33,5,2.47,0.908,0
23,2.54,11.9,31,16,2.53,0.912,0
24,19.09,14.0,43,19,2.47,0.91,0
25,30.43,13.5,36,22,2.36,0.914,0
26,10.72,11.4,38,17,2.74,0.901,0
27,0.29,10.2,38,23,3.2,0.886,0
28,0.29,10.1,21,17,2.88,0.91,0
29,31.85,13.1,30,20,1.95,0.93,0
30,27.41,15.2,21,25,2.53,0.924,0
31,9.63,14.4,35,17,2.5,0.918,0
32,1.11,11.7,42,12,2.57,0.91,0
33,0.37,11.8,30,28,2.84,0.899,0
34,30.67,10.3,19,14,2.11,0.93,0
35,9.63,12.5,30,28,2.87,0.903,0
36,5.93,9.9,35,24,2.26,0.906,0
37,1.67,12.8,34,30,2.34,0.911,0
38,0.93,11.6,29,16,2.46,0.918,0
39,0.19,7.8,39,6,2.17,0.911,0
40,96.11,17.2,37,20,2.27,0.93,1
41,21.3,12.4,37,14,1.88,0.927,0
42,5.74,13.5,38,15,2.32,0.923,0
43,0.19,14.7,29,25,2.67,0.919,0
44,0.19,13.0,33,22,2.69,0.917,0
45,92.41,18.6,33,23,2.09,0.932,1
46,21.3,11.1,43,17,1.89,0.917,0
47,1.48,12.7,33,18,2.2,0.92,0
48,1.3,10.8,30,25,2.24,0.914,0
49,1.11,9.3,37,12,1.88,0.916,0
50,0.56,11.8,31,14,2.07,0.922,0
51,0.19,11.0,29,31,2.63,0.905,0
52,30.71,16.8,30,18,1.87,0.937,0
53,21.07,11.6,35,24,2.56,0.91,0
54,7.14,14.1,32,23,2.0,0.926,0
55,0.71,7.8,22,10,1.79,0.925,0
56,0.18,9.8,39,21,2.29,0.906,0
57,23.97,14.6,41,20,2.24,0.917,0
58,5.17,10.2,42,15,1.95,0.912,0
59,2.76,13.4,36,20,2.49,0.915,0
60,1.03,12.1,43,20,2.24,0.91,0
61,0.52,12.1,32,21,2.1,0.919,0
62,0.17,7.2,15,11,2.21,0.919,0
63,14.35,11.9,35,15,2.01,0.921,0
64,10.32,11.3,42,17,2.32,0.906,0
65,6.77,13.9,37,24,2.11,0.921,0
66,2.74,14.4,25,22,2.27,0.922,0
67,1.61,11.5,36,25,2.46,0.904,0
68,1.29,11.7,32,21,2.19,0.915,0
69,0.48,12.0,36,19,2.35,0.914,0
70,0.16,12.9,37,29,2.45,0.908,0
71,70.0,17.4,30,24,2.11,0.931,1
72,45.65,13.3,32,23,1.94,0.925,0
73,27.74,12.9,33,21,2.29,0.92,0
74,0.97,14.5,24,32,2.36,0.92,0
75,0.32,9.8,38,26,2.15,0.906,0
76,50.16,11.4,41,23,2.02,0.914,0
77,1.77,11.9,31,10,1.73,0.932,0
78,1.61,12.8,35,15,2.18,0.92,0
79,1.13,11.2,30,22,2.47,0.911,0
80,0.97,13.9,37,20,2.26,0.922,0
81,0.16,13.5,34,22,2.3,0.92,0
82,20.29,12.5,38,26,2.03,0.917,0
83,18.38,8.4,24,10,1.69,0.933,0
84,15.9,20.9,25,33,2.43,0.931,0
85,8.29,10.4,37,21,1.98,0.913,0
86,5.62,10.3,34,19,2.13,0.918,0
87,4.1,12.6,29,18,2.05,0.926,0
