,vote-share,goals,assists,ops,dps,plus-minus,mvp,position_C,position_D,position_W,points,tps
0,38.43,51,86,11.3,1.3,14,1,1,0,0,137,12.600000000000001
1,30.24,53,84,11.6,2.0,34,0,1,0,0,137,13.6
2,8.01,50,75,10.8,2.0,40,0,0,0,1,125,12.8
3,3.64,56,33,8.3,2.1,48,0,0,0,1,89,10.4
4,1.64,14,61,5.5,5.9,38,0,0,1,0,75,11.4
5,1.46,40,57,7.7,1.0,3,0,1,0,0,97,8.7
6,1.28,8,33,3.2,2.4,13,0,0,1,0,41,5.6
7,1.09,12,57,3.3,1.6,42,0,1,0,0,69,4.9
8,42.68,55,109,12.3,2.0,41,1,1,0,0,164,14.3
9,4.23,58,77,10.5,2.3,54,0,1,0,0,135,12.8
10,3.53,68,51,10.2,1.8,38,0,0,0,1,119,12.0
11,1.59,31,72,6.6,2.1,50,0,1,0,0,103,8.7
12,1.23,12,38,3.2,6.1,47,0,0,1,0,50,9.3
13,0.88,49,82,9.5,1.4,14,0,1,0,0,131,10.9
14,0.71,20,56,5.4,5.6,39,0,0,1,0,76,11.0
15,0.53,46,39,6.3,1.3,12,0,0,0,1,85,7.6
16,0.35,16,67,5.4,3.0,-16,0,0,1,0,83,8.4
17,0.35,39,70,7.3,1.3,10,0,1,0,0,109,8.6
18,0.18,35,27,3.8,1.2,4,0,0,0,1,62,5.0
19,0.18,27,43,5.0,1.3,24,0,0,0,1,70,6.3
20,0.18,27,29,4.5,5.1,29,0,0,1,0,56,9.6
21,100.0,92,120,17.2,2.5,80,1,1,0,0,212,19.7
22,41.27,50,79,8.7,2.4,70,0,1,0,0,129,11.1
23,10.79,64,83,10.9,2.4,69,0,0,0,1,147,13.3
24,4.76,46,93,9.1,0.7,-10,0,1,0,0,139,9.799999999999999
25,4.13,45,58,6.8,1.0,-7,0,1,0,0,103,7.8
26,3.17,9,29,2.0,4.2,20,0,0,1,0,38,6.2
27,3.17,60,76,9.9,1.1,-7,0,1,0,0,136,11.0
28,2.22,51,43,7.0,1.4,15,0,0,0,1,94,8.4
29,1.9,39,46,6.9,3.4,1,0,0,1,0,85,10.3
30,1.59,43,71,7.3,1.4,10,0,1,0,0,114,8.7
31,1.59,32,87,7.0,1.0,0,0,1,0,0,119,8.0
32,0.32,22,30,2.2,1.6,24,0,0,0,1,52,3.8000000000000003
33,0.32,14,42,3.4,4.9,12,0,0,1,0,56,8.3
34,0.32,55,51,7.7,1.5,14,0,0,0,1,106,9.2
35,0.32,21,24,1.2,1.8,36,0,0,0,1,45,3.0
36,0.32,36,33,4.7,0.8,-5,0,1,0,0,69,5.5
37,0.32,17,49,4.5,4.8,21,0,0,1,0,66,9.3
38,0.32,44,31,4.8,0.5,-17,0,0,0,1,75,5.3
39,0.32,45,44,5.7,0.9,2,0,0,0,1,89,6.6000000000000005
40,0.32,39,36,4.7,0.9,-3,0,0,0,1,75,5.6000000000000005
41,84.44,71,125,16.1,1.9,61,1,1,0,0,196,18.0
42,21.27,35,86,8.0,1.6,26,0,1,0,0,121,9.6
43,9.52,3,29,0.9,4.3,-2,0,0,1,0,32,5.2
44,6.35,20,47,4.5,6.3,47,0,0,1,0,67,10.8
45,2.86,23,62,4.4,1.8,37,0,1,0,0,85,6.2
46,1.59,47,77,9.1,1.3,29,0,1,0,0,124,10.4
47,1.27,66,32,8.8,1.0,-1,0,0,0,1,98,9.8
48,0.32,60,58,9.4,1.8,27,0,0,0,1,118,11.200000000000001
49,0.32,31,40,4.2,1.8,30,0,0,0,1,71,6.0
50,0.32,37,38,4.8,1.5,19,0,1,0,0,75,6.3
51,0.32,10,26,1.8,5.2,20,0,0,1,0,36,7.0
52,0.32,46,30,5.5,1.2,-3,0,0,0,1,76,6.7
53,98.71,87,118,17.4,2.2,78,1,1,0,0,205,19.599999999999998
54,32.9,9,24,1.2,6.3,14,0,0,1,0,33,7.5
55,17.42,40,71,8.0,2.3,68,0,1,0,0,111,10.3
56,10.0,47,58,7.5,1.8,26,0,0,0,1,105,9.3
57,5.48,31,65,7.3,7.2,51,0,0,1,0,96,14.5
58,4.19,51,67,9.3,2.2,65,0,0,0,1,118,11.5
59,3.87,56,66,9.3,2.3,62,0,0,0,1,122,11.600000000000001
60,0.97,40,86,9.9,4.4,52,0,0,1,0,126,14.3
61,0.65,54,39,7.2,1.4,29,0,0,0,1,93,8.6
62,0.65,46,73,8.3,1.3,22,0,1,0,0,119,9.600000000000001
63,0.32,5,53,2.8,2.6,-31,0,0,1,0,58,5.4
64,0.32,37,57,6.2,0.8,-12,0,1,0,0,94,7.0
65,0.32,39,77,7.7,1.8,27,0,1,0,0,116,9.5
66,0.32,31,49,5.1,0.2,-24,0,1,0,0,80,5.3
67,96.19,73,135,16.6,3.0,100,1,1,0,0,208,19.6
68,28.89,53,77,9.8,1.3,20,0,1,0,0,130,11.100000000000001
69,8.89,4,22,0.5,6.4,36,0,0,1,0,26,6.9
70,6.67,20,66,5.9,5.7,30,0,0,1,0,86,11.600000000000001
