player names,vote-share,position,goals,assists,ops,dps,plus-minus,year
Wayne Gretzky,38.43,C,51,86,11.3,1.3,14,1980
Marcel Dionne,30.24,C,53,84,11.6,2.0,34,1980
Tony Esposito,11.66,G,0,1,0.0,0.0,0,1980
Guy Lafleur,8.01,RW,50,75,10.8,2.0,40,1980
Danny Gare,3.64,RW,56,33,8.3,2.1,48,1980
Mike Liut,2.55,G,0,0,0.0,0.0,0,1980
Larry Robinson,1.64,D,14,61,5.5,5.9,38,1980
Darryl Sittler,1.46,C,40,57,7.7,1.0,3,1980
Denis Potvin,1.28,D,8,33,3.2,2.4,13,1980
Bobby Clarke,1.09,C,12,57,3.3,1.6,42,1980
Wayne Gretzky,42.68,C,55,109,12.3,2.0,41,1981
Mike Liut,41.80,G,0,0,0.0,0.0,0,1981
Marcel Dionne,4.23,C,58,77,10.5,2.3,54,1981
Mike Bossy,3.53,RW,68,51,10.2,1.8,38,1981
Bryan Trottier,1.59,C,31,72,6.6,2.1,50,1981
Larry Robinson,1.23,D,12,38,3.2,6.1,47,1981
Dan Bouchard,1.06,G,0,4,0.0,0.0,,1981
Kent Nilsson,0.88,C,49,82,9.5,1.4,14,1981
Denis Potvin,0.71,D,20,56,5.4,5.6,39,1981
Danny Gare,0.53,RW,46,39,6.3,1.3,12,1981
Randy Carlyle,0.35,D,16,67,5.4,3.0,-16,1981
Peter Šťastný,0.35,C,39,70,7.3,1.3,10,1981
Mario Lessard,0.35,G,0,1,0.0,0.0,0,1981
Don Edwards,0.18,G,0,2,0.0,0.0,0,1981
Tiger Williams,0.18,LW,35,27,3.8,1.2,4,1981
Guy Lafleur,0.18,RW,27,43,5.0,1.3,24,1981
Ray Bourque,0.18,D,27,29,4.5,5.1,29,1981
Wayne Gretzky,100.00,C,92,120,17.2,2.5,80,1982
Bryan Trottier,41.27,C,50,79,8.7,2.4,70,1982
Mike Bossy,10.79,RW,64,83,10.9,2.4,69,1982
Peter Šťastný,4.76,C,46,93,9.1,0.7,-10,1982
Dale Hawerchuk,4.13,C,45,58,6.8,1.0,-7,1982
Barry Beck,3.17,D,9,29,2.0,4.2,20,1982
Dennis Maruk,3.17,C,60,76,9.9,1.1,-7,1982
Rick Middleton,2.22,RW,51,43,7.0,1.4,15,1982
Doug Wilson,1.90,D,39,46,6.9,3.4,1,1982
Bobby Smith,1.59,C,43,71,7.3,1.4,10,1982
Denis Savard,1.59,C,32,87,7.0,1.0,0,1982
Gilles Meloche,0.95,G,0,1,0.0,0.0,0,1982
Richard Brodeur,0.63,G,0,2,0.0,0.0,0,1982
Terry O'Reilly,0.32,RW,22,30,2.2,1.6,24,1982
Brad Park,0.32,D,14,42,3.4,4.9,12,1982
Dino Ciccarelli,0.32,RW,55,51,7.7,1.5,14,1982
Bob Gainey,0.32,LW,21,24,1.2,1.8,36,1982
Paul Gardner,0.32,C,36,33,4.7,0.8,-5,1982
Ray Bourque,0.32,D,17,49,4.5,4.8,21,1982
Al Secord,0.32,LW,44,31,4.8,0.5,-17,1982
Bill Barber,0.32,LW,45,44,5.7,0.9,2,1982
Brian Sutter,0.32,LW,39,36,4.7,0.9,-3,1982
Wayne Gretzky,84.44,C,71,125,16.1,1.9,61,1983
Pete Peeters,50.48,G,0,2,0.0,0.0,0,1983
Denis Savard,21.27,C,35,86,8.0,1.6,26,1983
Rod Langway,9.52,D,3,29,0.9,4.3,-2,1983
Mark Howe,6.35,D,20,47,4.5,6.3,47,1983
Bobby Clarke,2.86,C,23,62,4.4,1.8,37,1983
Peter Šťastný,1.59,C,47,77,9.1,1.3,29,1983
Lanny McDonald,1.27,RW,66,32,8.8,1.0,-1,1983
Glenn Resch,0.63,G,0,3,0.0,0.0,0,1983
Mike Bossy,0.32,RW,60,58,9.4,1.8,27,1983
John Tonelli,0.32,LW,31,40,4.2,1.8,30,1983
Mark Pavelich,0.32,C,37,38,4.8,1.5,19,1983
Brad Park,0.32,D,10,26,1.8,5.2,20,1983
Brian Sutter,0.32,LW,46,30,5.5,1.2,-3,1983
Wayne Gretzky,98.71,C,87,118,17.4,2.2,78,1984
Rod Langway,32.90,D,9,24,1.2,6.3,14,1984
Bryan Trottier,17.42,C,40,71,8.0,2.3,68,1984
Rick Middleton,10.00,RW,47,58,7.5,1.8,26,1984
Ray Bourque,5.48,D,31,65,7.3,7.2,51,1984
Mike Bossy,4.19,RW,51,67,9.3,2.2,65,1984
Michel Goulet,3.87,LW,56,66,9.3,2.3,62,1984
Réjean Lemelin,1.94,G,0,3,0.0,0.0,0,1984
Tom Barrasso,1.29,G,0,2,0.0,0.0,0,1984
Paul Coffey,0.97,D,40,86,9.9,4.4,52,1984
Tim Kerr,0.65,RW,54,39,7.2,1.4,29,1984
Peter Šťastný,0.65,C,46,73,8.3,1.3,22,1984
Brad Park,0.32,D,5,53,2.8,2.6,-31,1984
Denis Savard,0.32,C,37,57,6.2,0.8,-12,1984
Al Jensen,0.32,G,0,0,0.0,0.0,0,1984
Dan Bouchard,0.32,G,0,3,0.0,0.0,0,1984
Barry Pederson,0.32,C,39,77,7.7,1.8,27,1984
Kent Nilsson,0.32,C,31,49,5.1,0.2,-24,1984
Wayne Gretzky,96.19,C,73,135,16.6,3.0,100,1985
Dale Hawerchuk,28.89,C,53,77,9.8,1.3,20,1985
Pelle Lindbergh,17.78,G,0,0,0.0,0.0,0,1985
Rod Langway,8.89,D,4,22,0.5,6.4,36,1985
Ray Bourque,6.67,D,20,66,5.9,5.7,30,1985
Brian Sutter,4.13,LW,37,37,4.8,1.2,10,1985
Doug Wilson,3.17,D,22,54,5.3,4.8,24,1985
Tom Barrasso,2.86,G,0,6,0.0,0.0,0,1985
Tim Kerr,2.22,RW,54,44,7.8,1.5,31,1985
Marcel Dionne,2.22,C,46,80,8.8,1.4,11,1985
Mike Bossy,1.90,RW,58,59,9.5,1.7,37,1985
Michel Goulet,1.27,LW,55,40,7.6,1.1,10,1985
Bobby Carpenter,1.27,C,53,42,7.3,1.6,20,1985
Jari Kurri,0.95,RW,71,64,11.6,2.4,78,1985
Paul Coffey,0.32,D,37,84,9.5,5.3,57,1985
Bernie Federko,0.32,C,30,73,6.4,0.7,-10,1985
Brent Sutter,0.32,C,42,60,7.4,1.8,42,1985
John Tonelli,0.32,LW,42,58,7.0,2.1,49,1985
Dave Poulin,0.32,C,30,44,4.5,1.9,45,1985
Wayne Gretzky,93.67,C,52,163,14.9,2.1,71,1986
Mario Lemieux,54.33,C,48,93,9.9,0.9,-8,1986
Mark Howe,10.67,D,24,58,5.7,8.8,87,1986
Paul Coffey,9.67,D,48,90,11.0,5.1,61,1986
